ID,codigo,prospecto,programa,periodo,estado,completitud,documentosVerificados,revisor,puntaje,decision,fechaEnvio,fechaDecision,observaciones,externalID
solicitud-edu-001,SOL-DEMO-001,edu-prospecto-001,programa-002,2026-2,Enviada,55,false,supervisora-demo,56,Admitir,2026-07-30T12:00:00Z,2026-07-30T12:00:00Z,Solicitud sintética con seguimiento de completitud.,ADM-SOL-001
solicitud-edu-002,SOL-DEMO-002,edu-prospecto-002,programa-003,2026-2,En revisión,75,false,supervisora-demo,57,No admitir,2026-07-29T12:00:00Z,2026-07-29T12:00:00Z,Solicitud sintética con seguimiento de completitud.,ADM-SOL-002
solicitud-edu-003,SOL-DEMO-003,edu-prospecto-003,programa-004,2026-2,Incompleta,90,true,supervisora-demo,58,Lista de espera,2026-07-28T12:00:00Z,,Solicitud sintética con seguimiento de completitud.,ADM-SOL-003
solicitud-edu-004,SOL-DEMO-004,edu-prospecto-004,programa-005,2026-2,Admitida,100,false,supervisora-demo,59,Admitir,2026-07-27T12:00:00Z,2026-07-27T12:00:00Z,Solicitud sintética con seguimiento de completitud.,ADM-SOL-004
solicitud-edu-005,SOL-DEMO-005,edu-prospecto-005,programa-006,2026-2,No admitida,30,false,supervisora-demo,60,No admitir,2026-07-26T12:00:00Z,2026-07-26T12:00:00Z,Solicitud sintética con seguimiento de completitud.,ADM-SOL-005
solicitud-edu-006,SOL-DEMO-006,edu-prospecto-006,programa-007,2026-2,Borrador,55,true,supervisora-demo,61,Lista de espera,2026-07-25T12:00:00Z,,Solicitud sintética con seguimiento de completitud.,ADM-SOL-006
solicitud-edu-007,SOL-DEMO-007,edu-prospecto-007,programa-008,2026-2,Enviada,75,false,supervisora-demo,62,Admitir,2026-07-24T12:00:00Z,2026-07-24T12:00:00Z,Solicitud sintética con seguimiento de completitud.,ADM-SOL-007
solicitud-edu-008,SOL-DEMO-008,edu-prospecto-008,programa-009,2026-2,En revisión,90,false,supervisora-demo,63,No admitir,2026-07-23T12:00:00Z,2026-07-31T12:00:00Z,Solicitud sintética con seguimiento de completitud.,ADM-SOL-008
solicitud-edu-009,SOL-DEMO-009,edu-prospecto-009,programa-010,2026-2,Incompleta,100,true,supervisora-demo,64,Lista de espera,2026-07-22T12:00:00Z,,Solicitud sintética con seguimiento de completitud.,ADM-SOL-009
solicitud-edu-010,SOL-DEMO-010,edu-prospecto-010,programa-001,2026-2,Admitida,30,false,supervisora-demo,65,Admitir,2026-07-21T12:00:00Z,2026-07-29T12:00:00Z,Solicitud sintética con seguimiento de completitud.,ADM-SOL-010
solicitud-edu-011,SOL-DEMO-011,edu-prospecto-011,programa-002,2026-2,No admitida,55,false,supervisora-demo,66,No admitir,2026-07-20T12:00:00Z,2026-07-28T12:00:00Z,Solicitud sintética con seguimiento de completitud.,ADM-SOL-011
solicitud-edu-012,SOL-DEMO-012,edu-prospecto-012,programa-003,2026-2,Borrador,75,true,supervisora-demo,67,Lista de espera,2026-07-19T12:00:00Z,,Solicitud sintética con seguimiento de completitud.,ADM-SOL-012
solicitud-edu-013,SOL-DEMO-013,edu-prospecto-013,programa-004,2026-2,Enviada,90,false,supervisora-demo,68,Admitir,2026-07-18T12:00:00Z,2026-07-26T12:00:00Z,Solicitud sintética con seguimiento de completitud.,ADM-SOL-013
solicitud-edu-014,SOL-DEMO-014,edu-prospecto-014,programa-005,2026-2,En revisión,100,false,supervisora-demo,69,No admitir,2026-07-17T12:00:00Z,2026-07-25T12:00:00Z,Solicitud sintética con seguimiento de completitud.,ADM-SOL-014
solicitud-edu-015,SOL-DEMO-015,edu-prospecto-015,programa-006,2026-2,Incompleta,30,true,supervisora-demo,70,Lista de espera,2026-07-16T12:00:00Z,,Solicitud sintética con seguimiento de completitud.,ADM-SOL-015
solicitud-edu-016,SOL-DEMO-016,edu-prospecto-016,programa-007,2026-2,Admitida,55,false,supervisora-demo,71,Admitir,2026-07-15T12:00:00Z,2026-07-31T12:00:00Z,Solicitud sintética con seguimiento de completitud.,ADM-SOL-016
solicitud-edu-017,SOL-DEMO-017,edu-prospecto-017,programa-008,2026-2,No admitida,75,false,supervisora-demo,72,No admitir,2026-07-14T12:00:00Z,2026-07-30T12:00:00Z,Solicitud sintética con seguimiento de completitud.,ADM-SOL-017
solicitud-edu-018,SOL-DEMO-018,edu-prospecto-018,programa-009,2026-2,Borrador,90,true,supervisora-demo,73,Lista de espera,2026-07-13T12:00:00Z,,Solicitud sintética con seguimiento de completitud.,ADM-SOL-018
solicitud-edu-019,SOL-DEMO-019,edu-prospecto-019,programa-010,2026-2,Enviada,100,false,supervisora-demo,74,Admitir,2026-07-12T12:00:00Z,2026-07-28T12:00:00Z,Solicitud sintética con seguimiento de completitud.,ADM-SOL-019
solicitud-edu-020,SOL-DEMO-020,edu-prospecto-020,programa-001,2026-2,En revisión,30,false,supervisora-demo,75,No admitir,2026-07-11T12:00:00Z,2026-07-27T12:00:00Z,Solicitud sintética con seguimiento de completitud.,ADM-SOL-020
solicitud-edu-021,SOL-DEMO-021,edu-prospecto-021,programa-002,2026-2,Incompleta,55,true,supervisora-demo,76,Lista de espera,2026-07-10T12:00:00Z,,Solicitud sintética con seguimiento de completitud.,ADM-SOL-021
solicitud-edu-022,SOL-DEMO-022,edu-prospecto-022,programa-003,2026-2,Admitida,75,false,supervisora-demo,77,Admitir,2026-07-09T12:00:00Z,2026-07-25T12:00:00Z,Solicitud sintética con seguimiento de completitud.,ADM-SOL-022
solicitud-edu-023,SOL-DEMO-023,edu-prospecto-023,programa-004,2026-2,No admitida,90,false,supervisora-demo,78,No admitir,2026-07-08T12:00:00Z,2026-07-24T12:00:00Z,Solicitud sintética con seguimiento de completitud.,ADM-SOL-023
solicitud-edu-024,SOL-DEMO-024,edu-prospecto-024,programa-005,2026-2,Borrador,100,true,supervisora-demo,79,Lista de espera,2026-07-07T12:00:00Z,,Solicitud sintética con seguimiento de completitud.,ADM-SOL-024
solicitud-edu-025,SOL-DEMO-025,edu-prospecto-025,programa-006,2026-2,Enviada,30,false,supervisora-demo,80,Admitir,2026-07-31T12:00:00Z,2026-07-30T12:00:00Z,Solicitud sintética con seguimiento de completitud.,ADM-SOL-025
solicitud-edu-026,SOL-DEMO-026,edu-prospecto-026,programa-007,2026-2,En revisión,55,false,supervisora-demo,81,No admitir,2026-07-30T12:00:00Z,2026-07-29T12:00:00Z,Solicitud sintética con seguimiento de completitud.,ADM-SOL-026
solicitud-edu-027,SOL-DEMO-027,edu-prospecto-027,programa-008,2026-2,Incompleta,75,true,supervisora-demo,82,Lista de espera,2026-07-29T12:00:00Z,,Solicitud sintética con seguimiento de completitud.,ADM-SOL-027
solicitud-edu-028,SOL-DEMO-028,edu-prospecto-028,programa-009,2026-2,Admitida,90,false,supervisora-demo,83,Admitir,2026-07-28T12:00:00Z,2026-07-27T12:00:00Z,Solicitud sintética con seguimiento de completitud.,ADM-SOL-028
solicitud-edu-029,SOL-DEMO-029,edu-prospecto-029,programa-010,2026-2,No admitida,100,false,supervisora-demo,84,No admitir,2026-07-27T12:00:00Z,2026-07-26T12:00:00Z,Solicitud sintética con seguimiento de completitud.,ADM-SOL-029
solicitud-edu-030,SOL-DEMO-030,edu-prospecto-030,programa-001,2026-2,Borrador,30,true,supervisora-demo,85,Lista de espera,2026-07-26T12:00:00Z,,Solicitud sintética con seguimiento de completitud.,ADM-SOL-030
solicitud-edu-031,SOL-DEMO-031,edu-prospecto-031,programa-002,2026-2,Enviada,55,false,supervisora-demo,86,Admitir,2026-07-25T12:00:00Z,2026-07-24T12:00:00Z,Solicitud sintética con seguimiento de completitud.,ADM-SOL-031
solicitud-edu-032,SOL-DEMO-032,edu-prospecto-032,programa-003,2026-2,En revisión,75,false,supervisora-demo,87,No admitir,2026-07-24T12:00:00Z,2026-07-31T12:00:00Z,Solicitud sintética con seguimiento de completitud.,ADM-SOL-032
solicitud-edu-033,SOL-DEMO-033,edu-prospecto-033,programa-004,2026-2,Incompleta,90,true,supervisora-demo,88,Lista de espera,2026-07-23T12:00:00Z,,Solicitud sintética con seguimiento de completitud.,ADM-SOL-033
solicitud-edu-034,SOL-DEMO-034,edu-prospecto-034,programa-005,2026-2,Admitida,100,false,supervisora-demo,89,Admitir,2026-07-22T12:00:00Z,2026-07-29T12:00:00Z,Solicitud sintética con seguimiento de completitud.,ADM-SOL-034
solicitud-edu-035,SOL-DEMO-035,edu-prospecto-035,programa-006,2026-2,No admitida,30,false,supervisora-demo,90,No admitir,2026-07-21T12:00:00Z,2026-07-28T12:00:00Z,Solicitud sintética con seguimiento de completitud.,ADM-SOL-035
solicitud-edu-036,SOL-DEMO-036,edu-prospecto-036,programa-007,2026-2,Borrador,55,true,supervisora-demo,91,Lista de espera,2026-07-20T12:00:00Z,,Solicitud sintética con seguimiento de completitud.,ADM-SOL-036
solicitud-edu-037,SOL-DEMO-037,edu-prospecto-037,programa-008,2026-2,Enviada,75,false,supervisora-demo,92,Admitir,2026-07-19T12:00:00Z,2026-07-26T12:00:00Z,Solicitud sintética con seguimiento de completitud.,ADM-SOL-037
solicitud-edu-038,SOL-DEMO-038,edu-prospecto-038,programa-009,2026-2,En revisión,90,false,supervisora-demo,93,No admitir,2026-07-18T12:00:00Z,2026-07-25T12:00:00Z,Solicitud sintética con seguimiento de completitud.,ADM-SOL-038
solicitud-edu-039,SOL-DEMO-039,edu-prospecto-039,programa-010,2026-2,Incompleta,100,true,supervisora-demo,94,Lista de espera,2026-07-17T12:00:00Z,,Solicitud sintética con seguimiento de completitud.,ADM-SOL-039
solicitud-edu-040,SOL-DEMO-040,edu-prospecto-040,programa-001,2026-2,Admitida,30,false,supervisora-demo,95,Admitir,2026-07-16T12:00:00Z,2026-07-31T12:00:00Z,Solicitud sintética con seguimiento de completitud.,ADM-SOL-040
solicitud-edu-041,SOL-DEMO-041,edu-prospecto-041,programa-002,2026-2,No admitida,55,false,supervisora-demo,96,No admitir,2026-07-15T12:00:00Z,2026-07-30T12:00:00Z,Solicitud sintética con seguimiento de completitud.,ADM-SOL-041
solicitud-edu-042,SOL-DEMO-042,edu-prospecto-042,programa-003,2026-2,Borrador,75,true,supervisora-demo,97,Lista de espera,2026-07-14T12:00:00Z,,Solicitud sintética con seguimiento de completitud.,ADM-SOL-042
solicitud-edu-043,SOL-DEMO-043,edu-prospecto-043,programa-004,2026-2,Enviada,90,false,supervisora-demo,98,Admitir,2026-07-13T12:00:00Z,2026-07-28T12:00:00Z,Solicitud sintética con seguimiento de completitud.,ADM-SOL-043
