ID,codigo,contacto,campana,closer,producto,etapa,valor,probabilidad,fechaEstimadaCierre,observaciones
contacto-oportunidad-001,CALL-OPP-001,contacto-001,campana-002,supervisora-demo,Servicio Empresarial,Contacto comercial,1180000,40,2026-08-06,Oportunidad sintética originada en llamada.
contacto-oportunidad-002,CALL-OPP-002,contacto-002,campana-003,supervisora-demo,Plan Regreso,Propuesta,1460000,60,2026-08-07,Oportunidad sintética originada en llamada.
contacto-oportunidad-003,CALL-OPP-003,contacto-003,campana-004,supervisora-demo,Renovación Anual,Negociación,1740000,80,2026-08-08,Oportunidad sintética originada en llamada.
contacto-oportunidad-004,CALL-OPP-004,contacto-004,campana-001,supervisora-demo,Plan Premium,Venta,2020000,100,2026-08-09,Oportunidad sintética originada en llamada.
contacto-oportunidad-005,CALL-OPP-005,contacto-005,campana-002,supervisora-demo,Servicio Empresarial,Calificada,2300000,25,2026-08-10,Oportunidad sintética originada en llamada.
contacto-oportunidad-006,CALL-OPP-006,contacto-006,campana-003,supervisora-demo,Plan Regreso,Contacto comercial,2580000,40,2026-08-11,Oportunidad sintética originada en llamada.
contacto-oportunidad-007,CALL-OPP-007,contacto-007,campana-004,supervisora-demo,Renovación Anual,Propuesta,2860000,60,2026-08-12,Oportunidad sintética originada en llamada.
contacto-oportunidad-008,CALL-OPP-008,contacto-008,campana-001,supervisora-demo,Plan Premium,Negociación,3140000,80,2026-08-13,Oportunidad sintética originada en llamada.
contacto-oportunidad-009,CALL-OPP-009,contacto-009,campana-002,supervisora-demo,Servicio Empresarial,Venta,3420000,100,2026-08-14,Oportunidad sintética originada en llamada.
contacto-oportunidad-010,CALL-OPP-010,contacto-010,campana-003,supervisora-demo,Plan Regreso,Calificada,3700000,25,2026-08-15,Oportunidad sintética originada en llamada.
contacto-oportunidad-011,CALL-OPP-011,contacto-011,campana-004,supervisora-demo,Renovación Anual,Contacto comercial,3980000,40,2026-08-16,Oportunidad sintética originada en llamada.
